ID,Activity,Cluster,Classification
856_3,"Governance capacity, enforcement and management, and economic alternatives and incentives: Activities related to governance capacity, enforcement and management, and economic alternatives and incentives.",13,project management
856_4,Clarifications and corrective action requests: Clarifications and corrective action requests made regarding monitoring frequency and plot measurements.,12,project management
856_5,Corrective Action Request CAR 3: Corrective action request CAR 3.,12,project management
856_6,Dissemination of monitoring results: Explanation on how monitoring results have been disseminated and made publicly available on the internet.,5,project management
1112_1,"Raise Project Awareness: The project will raise awareness among the local communities about the project's goals and objectives, the negative impacts of deforestation, and the benefits of sustainable agriculture.",2,project management
1112_2,Hire Project Manager: The project will hire a project manager to oversee the implementation of activities and ensure the smooth operation of the project.,6,project management
1112_3,Patrol and Monitor Deforestation: The project will conduct regular patrols and monitoring activities to detect and prevent deforestation in the project area.,15,carbon
1112_4,"Provide Agricultural Extension Services: The project will provide agricultural extension services to the communities, offering training courses and assistance in improving agricultural practices.",4,community
1112_5,"Support Local Farmers Association: The project will establish and financially support a local farmers association, providing assistance in modernizing community infrastructure, improving production, and facilitating market access.",4,community
1112_6,"Help Communities Obtain Land Tenure: The project will assist community members in obtaining land tenure and formal recognition of their land use, which will reduce greenhouse gas emissions and provide communities with greater responsibility and ownership over their land.",2,community
1112_7,"Profit-Sharing of Carbon Credits: The project will share a portion of the carbon credit revenues with the communities, providing them with financial incentives for successful participation in the project and avoiding deforestation.",2,community
1112_8,"Establish a Project Headquarters: The project will establish a dedicated project headquarters, which will serve as a centralized office for project activities, community meetings, training courses, and project storage.",6,project management
958_1,Description of the Project Activity: The project area is covered by old-growth forest.,15,carbon
852_1,Acquisition and protection of forest lands threatened by agricultural conversion,1,no classification
852_2,Avoidance of deforestation through land purchase,1,carbon
852_3,Selective logging with Smartwood certification,0,carbon
1218_1,Avoiding Unplanned Deforestation and Degradation (AUDD): The project aims to avoid unplanned deforestation by implementing a strategy described in five main components.,15,carbon
1218_2,"Agroforestry: The project involves the cultivation of various fruit and cover crops, combined with annual crops commonly used in the region. It also includes the use of nursery, foliar fertilizer, and effective microorganisms.",8,carbon
1218_3,Carbon Monitoring: The project includes carbon monitoring activities throughout the crediting period of 2011-2031.,12,carbon
1218_4,Reappraisal of the Baseline Scenario: The project involves the reappraisal of the baseline scenario and update of the VCS-PD.,12,project management
1218_5,"Productive Activities: The project includes the development of a zoning study, use and management of community forests, palm trees, and chestnut. It also involves the improvement of the nursery for the production of forest species.",11,community
1218_6,Agroforestry Technical Training: The project includes training on agroforestry techniques.,8,community
1218_7,Development of Sustainable Agroforestry Plots: The project involves the design and implementation of sustainable agroforestry plots.,8,carbon
1218_8,Implementation and Maintenance of Ecotourism Routes: The project includes the implementation and maintenance of ecotourism routes in the community.,10,community
1218_9,Implementing a Communal Hunting: The project involves the implementation of communal hunting activities.,10,community
1218_10,Limiting Legal Boundaries: The project includes the physical study of limiting legal boundaries and the implementation of equipment custodians and community forest guards.,11,carbon
1218_11,"Forest Governance: The project includes the development and updating of community life plans, statutes, and internal regulations. It also involves the implementation of zoning of communal land and training of community leaders.",11,community
1218_12,Communication and Dissemination: The project includes the development of a communication strategy on the management and use of natural resources. It also involves the creation of outreach materials and radio broadcast programs.,10,project management
1218_13,"Conservation Agreements: The project includes the preparation, design, and implementation of conservation agreements.",10,biodiversity
1566_1,"Description of the project activities: The project activities were derived from the analysis of the problem and include the installation of permanent plots for carbon stock estimation, data collection and processing using the Information System of the REDD+ project, and the evaluation of environmental and socioeconomic impacts.",12,carbon
1566_2,"Data Collection, Processing and Report: Data and parameters are defined in the Matrix of Logic Structure (MLS) and collected, processed, reported, and disseminated using the Information System of the REDD+ project. The MLS allows for the evaluation of compliance with project objectives, results, and indicators. Information collected in the field is systematized by professionals in charge of monitoring and evaluation.",12,project management
1566_3,Environmental and Socioeconomic Impact Assessment: The project assesses the environmental and socioeconomic impacts through the analysis of potential positive and negative impacts on biodiversity and the living conditions of indigenous communities. The impacts are evaluated using a rating scale and the results show that the project has a positive benefit for biodiversity and improves the living conditions of indigenous communities.,10,community
1566_4,"Stakeholder Engagement: The project involves stakeholder engagement through consultations and meetings with primary stakeholders, including indigenous communities, ACATISEMA Association, teachers, colonists, mining companies, government institutions, and other organizations. The feedback and opinions of stakeholders are recorded, categorized, and addressed in subsequent meetings.",6,project management
934_1,Stopping planned legal and reducing unplanned illegal logging,1,carbon
934_2,Agricultural improvement activities,8,community
934_3,Village-centered capacity building through Local Development Committees (CLDs),13,community
934_4,Infrastructure and socio-economic development activities,13,community
934_5,Conservation management of concession,1,biodiversity
934_6,Wood energy plantations,1,carbon
934_7,Forest monitoring,5,carbon
934_8,Agroforestry nursery and demonstration plots,8,community
934_9,Agricultural diversification,8,community
934_10,Local Development Committees,13,community
934_11,School construction,14,community
934_12,Mobile medical clinic,16,community
875_1,Qualification of the local community to engage in forest stewardship activities within the FSM farm and preparation for Forest Stewardship Council (FSC) certification.,0,community
875_2,Long-term protection of the property area and opposition to land grabbers.,1,carbon
875_3,Improvement in local security through project monitoring and public sharing of documentation.,5,project management
875_4,Organization of forest fire brigades.,11,community
875_5,Creation of incentives to recover degraded areas surrounding the property.,1,carbon
875_6,Feasibility study for setting up a small plant for processing non-wood products and organizing a technical forestry school in the municipality of Colniza.,0,community
875_7,Collaboration with SEMA-MT to create a replicable environment management model in other potential REDD project areas.,12,project management
875_8,Monitoring strategy combining satellite images with field visits to monitor deforestation in the Amazon region.,15,carbon
875_9,Regular revision of the project area through satellite images and on-site surveillance to ensure forest preservation.,5,carbon
875_10,"Development of a new model for the exploitation of forest potential in the region, associated with the preservation of natural resources and sustainable economic activities.",11,carbon
875_11,Monitoring of carbon inventories within the project limits.,12,carbon
875_12,Specific field inventory in 2010 to determine the average amount of CO2 emissions and above-ground biomass in the local forest.,12,carbon
868_1,"Implementation of the Forest Monitoring and Surveillance System: Concessionaires will organize a Ground Team of Monitoring and Surveillance to monitor and control illegal logging activities, migratory agriculture, and mining activities in the project area. Checkpoints will be located in strategic places, and a weekly preventive patrolling system will be implemented.",5,carbon
868_2,"Training deforestation agents in alternative and sustainable productive initiatives: The project will provide training workshops to miners and other deforestation agents in agroforestry, management of forestry products, fish farming, and the elaboration of protocols. The goal is to promote sustainable activities and limit negative impacts on the environment.",15,community
868_3,"Implementation of a Tree Nursery: A permanent tree nursery will be established to produce 100,000 seedlings per year. Actions include the selection of seed-trees, seeds collection, construction of the nursery, production of seedlings, and training on seedling production.",8,carbon
868_4,Organization and legal formalization of grassroots organizations: The project will assist Brazil Nut Concessionaires in organizing and legally formalizing their grassroots organizations. This includes implementing an Early Alert System and a Conflicts and Complaints Management System.,4,community
868_5,"Implementation and Start-up of the Brazil Nut Processing Plant: The project will establish a Brazil Nut processing plant to improve the income of concessioners. This includes certification of products and processes, training in forestry management, reduced-impact techniques, and cooperation agreements with the government and local entities.",8,community
868_6,Improve Forestry Management in Brazil Nut Concessions: The project will work on improving forestry management in Brazil Nut concessions to guarantee and maintain ecological integrity and contribute to the preservation of biodiversity. This includes improving forest surveillance and implementing forestry management practices.,15,biodiversity
844_1,Development of specific project activities,6,no classification
844_2,Sustainable Forest Management,0,carbon
844_3,Maintenance of FSC Certification,0,project management
844_4,Commitment to responsible trade,1,no classification
844_5,REDD Project activities,12,carbon
844_6,Sustainable development of rural producers,8,no classification
1047_1,Creation of protected area: The project activity involves the creation and implementation of a protected area that encompasses the project area. The protected area is managed mainly for the sustainable use of natural resources and aims to stop deforestation.,15,carbon
1047_2,"Management and zoning of protected area: The project activity includes the management and zoning of the protected area. It involves the establishment of a co-managed, multiple-use protected area where local communities play a prominent role in managing the forests. The area is divided into strict conservation zones and buffer zones.",11,biodiversity
1047_3,Conservation agreements: The project activity involves the establishment of conservation agreements between CI Madagascar and local communities. These agreements aim to achieve measurable forest conservation results while compensating communities for the forgone benefits of forest use.,10,carbon
1047_4,Small grants: The project provides small grants to local community associations to undertake income-generating activities that contribute to forest conservation outcomes. The grants are defined by the communities themselves and aim to create economic opportunities for local people.,2,community
1047_5,Sustainable tourism: The project focuses on developing sustainable tourism that provides economic opportunities without negative environmental or social impacts. It aims to finance conservation through high-end tourism concessions and create jobs linked to tourism.,10,community
1047_6,"Integrated health, population, and environment programme (PHE): The project addresses ecosystem-related health problems by improving access to health services and building capacity to deliver these services. It includes training community-based agents to provide assistance on health, nutrition, water, sanitation, hygiene, and family planning.",14,community
1047_7,Fire alerts and real-time monitoring of forest loss: The project utilizes satellite-based fire monitoring systems to provide daily fire alerts for the region. It also carries out systematic monitoring of forest loss using satellite imagery. These monitoring tools enable the project to pinpoint problem areas and focus activities within them.,5,carbon
1133_1,"Protecting the forest and avoiding harvesting: The project will use carbon financing to protect the forest and avoid harvesting of the forest for valuable timber and conversion to agriculture. This will be achieved by maintaining and increasing a robust presence at the main facility, implementing regular patrols to prevent incursions and illegal logging, and implementing an integrated monitoring program for carbon and biodiversity.",15,carbon
1133_2,"Hiring and training additional staff: The project will hire and train additional staff from the local community of Puerto Miguel to staff the facility, patrol the forest and river, and monitor the forest biomass and biodiversity.",15,community
1133_3,Supporting health care for local communities: The project will continue supporting health care for local communities by providing facilities for Amazon Promise and furnishing monetary support to the local clinic in Puerto Miguel.,14,community
1133_4,"Contracting monitoring, carbon sales, and finances: Lawrence Bishop will be responsible for hiring contractors for future monitoring, carbon sales, and finances in the United States. Mr. Bishop is also a licensed commodities broker and will be responsible for marketing, selling, and managing funds derived from carbon offsets sales.",12,project management
1133_5,Technical support for project design and monitoring: The Virginia Tech Conservation Management Institute (CMI) will serve as technical support for project design and monitoring. CMI has extensive experience in the development and implementation of carbon offset projects and monitoring protocol development and implementation.,12,project management
1133_6,"Management of infrastructure, forest protection, and business matters: Mr. Norman Walters will be responsible for the management of infrastructure, forest protection at Yacumama, and business matters within the country of Peru. He will also serve as the diplomatic liaison between Yacumama and the local communities.",9,project management
1133_7,Day-to-day operations at Yacumama: Mr. Walters will be responsible for the day-to-day operations at Yacumama during the course of the project.,9,project management
1094_1,"Conservation of forest area: The principal objective of the project is to conserve 97,007.22 ha of forest area within the five Ecomapuá properties through avoidance of unplanned deforestation.",15,carbon
1094_2,Baseline reassessment: The baseline is reassessed every 10 years to account for changes in deforestation projections. Corrections were made during the first baseline period.,15,project management
1094_3,"Predicted avoided deforestation: The ex-ante estimate for the predicted avoided deforestation within the project area over the 30 year project lifetime would be 1,157 ha.",15,carbon
1094_4,"Avoided emissions: The avoided emissions due to the project are expected to be 851,933 tCO2e across the project crediting period.",12,carbon
1094_5,Community capacity building: Capacity building activities have been conducted in partnership with the Federal Rural University of Amazônia (UFRA) and Petrobras Company to enhance family agricultural production.,4,community
1094_6,Construction of support home and school: A support home and the local school located within the leakage management area have been constructed.,14,community
1094_7,"Construction of aviculture structure, vegetable gardens, fish tanks, and apiaries: Aviculture structure, vegetable gardens, fish tanks, and apiaries have been constructed to support alternative livelihood projects.",8,community
1094_8,Building of forestry nursery: A forestry nursery has been built in the leakage management area.,0,carbon
1094_9,Donation of motor boat: A motor boat has been donated to the community for transportation.,16,community
1541_1,Signature and enforcement of cooperation agreements: This project activity seeks to enforce the currently applicable Guatemalan Law on Protected Areas by securing land use rights for communities that have historic land rights within the park.,9,community
1541_2,Establishment of a program of patrols and surveillance subcommittee for each organization within the park: This project activity aims to establish a program of patrols and surveillance subcommittees for each organization within the park to ensure forest protection and biodiversity.,5,biodiversity
1541_3,Workshops about fire management in the communities: This project activity involves conducting workshops in the communities about fire management to prevent forest fires.,11,community
1541_4,Program for conservation of habitats linked to endangered species and development of a plan for conservation of HCV: This project activity focuses on implementing a program for the conservation of habitats linked to endangered species and developing a plan for the conservation of High Conservation Value (HCV) areas.,10,biodiversity
1541_5,School of agroforestry promoters for enhancing practices sustainable agriculture in the communities: This project activity involves establishing a school of agroforestry promoters to enhance sustainable agriculture practices in the communities.,8,community
1541_6,Identification of alternative NTFPs and market study on each case: This project activity aims to identify alternative Non-Timber Forest Products (NTFPs) and conduct market studies on each case.,0,community
1541_7,Development of a census of populations of species of flora/fauna that have historically been subject to commercial extraction and their most common geographical location: This project activity involves developing a census of populations of species of flora/fauna that have historically been subject to commercial extraction and determining their most common geographical locations.,10,biodiversity
1541_8,Development of sustainable forest management plans for small holders and communities: This project activity focuses on developing sustainable forest management plans for small holders and communities.,0,carbon
1541_9,Establishment and reinforcement of a program of micro-credits and the promotion of conservation and forest management: This project activity aims to establish and reinforce a program of micro-credits and promote conservation and forest management.,10,community
1541_10,Human resources plan focusing on contracting permanent personnel (not seasonal jobs): This project activity involves creating a human resources plan that focuses on contracting permanent personnel instead of seasonal jobs.,6,project management
1541_11,Community empowerment and capacity building: This project activity aims to empower and build the capacity of the communities through periodical workshops and events on environmental education and the socialization of environmental legislation.,10,community
1541_12,Workshops about sexual and reproductive health in communities: This project activity involves conducting workshops in communities about sexual and reproductive health to enhance knowledge and practices.,4,community
1541_13,Workshops on water and waste management: This project activity focuses on conducting workshops on water and waste management in communities to improve practices and access to proper facilities.,4,community
1384_1,"Land use monitoring and zoning enforcement conducted by the state: Monitoring the staffing of checkpoints, establishment of new checkpoints, park guard patrols, and compliance with land use plans.",5,project management
1384_2,Land use planning and zoning: Monitoring the designated agricultural areas and ensuring compliance with land use plans.,11,project management
1384_3,"Forest fire control and prevention conducted by the state: Monitoring forest fires through remote sensing and overflight data, and implementing fire control activities.",5,carbon
1384_4,"Reclamation and restoration of illegally deforested land: Identifying and reclaiming illegally deforested land, and monitoring the restoration activities.",15,carbon
1384_5,Maintain high conservation value areas through FSC certification: Ensuring compliance with FSC certification requirements for maintaining high conservation value areas.,0,biodiversity
1384_6,Support for institutional and legal mechanisms to improve forest governance: Monitoring and reporting on advances in institutional and legal mechanisms for improving forest governance.,11,carbon
1532_1,Providing inputs and training on climate-smart agricultural practices to smallholder farmers and offering them premium prices for their surplus commodities when local compliance to these practices is demonstrated.,8,community
1532_2,"Selling healthy, pesticide-free, value-added food products under the brand It's Wild! to sustain the project.",8,project management
1532_3,Encouraging community leaders to develop plans with zoned conservation areas to reduce threats to forests and important wildlife and watershed resources.,11,biodiversity
1532_4,"Promoting practices such as alley cropping, reduced tillage, use of crop residues for mulching, compost manure, green-manuring, soil and water conservation measures, row-planting, cover crops, and improved crop varieties to restore soil fertility, improve crop yields, build resilience to climate change, and reduce greenhouse gas emissions.",8,carbon
1532_5,"Sensitizing, mobilizing, registering, and training groups of farmers on the Sustainable Agricultural Land Management (SALM) practices, allowing them to choose which practices to adopt and providing further training and guidance.",17,community
1532_6,Promoting crop diversification to improve the resilience and sustainability of the farming system.,8,community
1532_7,"Conducting surveys and measurements to assess the impact of the project on crop diversification, crop yields, and greenhouse gas emissions.",12,carbon
1215_1,Identification of activities: The project activities have been identified.,6,no classification
1215_2,"No areas of planned deforestation in reference area: Deforestation due to large-scale commercial agriculture, infrastructure, and mining projects is not included in the reference area for deforestation.",15,carbon
1215_3,Use of a 10-km buffer around the project area: A 10-km buffer around the project area has been used to prevent spatial bias.,12,no classification
1215_4,Management transfer process: A management transfer process has been initiated to transfer forest management responsibilities to local communities.,11,community
1215_5,"Landscape factors: Various landscape factors such as forest types, soils, altitude, and slope classes have been considered.",17,no classification
1175_1,Acquisition of the VCR and establishment of protected status: The project activity consists of acquiring the VCR and establishing protected status for it. This includes seeking government designation and securing a permanent conservation easement.,10,biodiversity
1175_2,"Advocacy to stop construction of the Carretera Costera: The project activity involves advocating to stop the construction of the Carretera Costera, a coastal highway. This includes participating in coordination committees and meetings with government authorities.",15,no classification
1175_3,Stopping conversion of native forest to Eucalyptus plantations: The project activity focuses on stopping the conversion of native forest to Eucalyptus plantations. This includes canceling permits for conversion and conserving the native forest.,15,carbon
1175_4,"Ongoing protection and management activities: The project activity involves ongoing protection and management of the project area. This includes implementing conservation and management plans, monitoring and research, social participation, control and monitoring, training, environmental education and outreach, resource management, infrastructure and equipment maintenance, forest fire prevention, and ecotourism programs.",10,project management
1403_1,Establish a ‘Payment for Ecosystem Services’ (PES) system to conserve remaining forest: The project aims to establish a payment system to incentivize forest conservation in the Atlantic Forest in Eastern Paraguay.,15,carbon
1403_2,Make payments for ecosystem services for forest conservation to small holders: The project will provide payments to small holder communities living within the project boundary in Eastern Paraguay for forest conservation.,15,community
1403_3,"Generate GHG emission reductions through reducing emissions from deforestation: By promoting forest conservation, the project aims to reduce greenhouse gas emissions from deforestation.",15,carbon
1403_4,"Make payments for reforestation to qualifying small holders: In addition to forest conservation, the project will also provide payments for reforestation to qualifying small holders.",15,carbon
1403_5,Set aside land as a forest reserve intended to be permanent: The project will designate certain areas of land as a permanent forest reserve.,15,carbon
1403_6,"Allow sustainable off-take of wood fuel from the project area: Starting in year 6 of the project, a sustainable off-take of wood fuel will be allowed from the project area.",0,carbon
1403_7,Provide extension services to enhance income and productivity from small-holder agriculture: The project will provide agricultural extension services to small holders to enhance their income and productivity from agriculture.,4,community
1403_8,Provide support for sustainable forest management: The project will provide support for sustainable forest management to non-project forest areas and reforestation areas.,15,carbon
1403_9,Involve Guyra Paraguay and World Land Trust in implementing the project: Guyra Paraguay and World Land Trust will be involved in the implementation and management of the project.,9,project management
963_1,Engage Local Communities: The project engages local communities by discussing the Purus Project in detail and signing a Declaration and a Memorandum of Understanding. Community members agree to assist in reducing deforestation and protecting the local environment.,2,community
963_2,"Create Project Awareness: The activity involves creating project awareness in the project area, nearby communities and towns, and local and state organizations. This includes meetings with various organizations and individuals.",6,project management
963_3,Acquire Agricultural Extension Services: The project surveys the communities to determine the agricultural extension training courses of interest. The top ten courses are selected and purchased. The project also engages technical support from EMBRAPA and SENAR for onsite trainings.,4,community
963_4,Help Communities Obtain Land Rights / Delineate Family Areas: The project assists community members in obtaining land rights and delineating family areas. The minimum area to be titled to each family is one hundred hectares.,2,community
963_5,Initiate Patrols/Monitors of Deforestation: The project purchases a trike for monitoring and participates in training on its operation. Aerial monitoring of deforestation begins and the project plans to hire local patrols to monitor deforestation in high-risk areas.,15,carbon
963_6,Plant Trees: The project plants trees to reforest non-forest areas. The first reforestation activities will be carried out within one hundred meters of the Purus River banks. The project also plans to restore forest cover in other non-forest areas using fruit trees and native species.,15,carbon
963_7,"Share a Portion of Profits from Sale of Carbon Credits: At the end of the fifth year, the community will start receiving payments for environmental services based on the preservation of forests within their one hundred hectares. The carbon revenue will also fund community improvements.",2,community
832_1,Conservation of forest area at Rio Capim Complex: The main objective of the project is to conserve the forest area at Rio Capim Complex through the cancellation of planned deforestation activities and limited forest management practices.,15,carbon
832_2,Limited FSC certified Low Impact Logging practices: The project will continue limited forest management activities in the area under FSC certified Low Impact Logging practices.,0,carbon
832_3,"Support sustainable social development and biodiversity: The company will intensify and improve its practices to support sustainable social development, maintenance, and improvement of biodiversity for the Rio Capim Complex.",10,biodiversity
832_4,"Sustainable Forest Management with Low Impact Logging (SFMLIL): The project follows SFMLIL practices, including a 35-year forest cutting cycle and criteria for the selection of harvest trees.",0,carbon
832_5,"Forest protection: The project includes actions for the protection of permanent environmental areas, preservation of hillsides and hydrological grid, and the implementation of fire prevention measures.",15,carbon
832_6,"Compliance with laws and regulations: The project activities are undertaken in compliance with applicable laws and regulations, including national and state legislation for forest management.",11,no classification
832_7,Ownership and legal rights: The project area is owned by CKBV and has legal right for forest management and carbon credits.,12,project management
832_8,"Leakage management: The project implements measures to minimize the risk of displacement of deforestation activities, such as new revenues from the sale of carbon credits.",15,carbon
953_1,Identification of forested land in private ownership: Identifying forested land in private ownership that has no legal safeguard against deforestation and is likely to be converted to agro-pastoral use upon change of ownership.,11,carbon
953_2,"Land purchase: Purchasing land by Guyra Paraguay with legal safeguards to ensure permanent protection of the biodiversity, environmental, and cultural qualities of the area.",9,biodiversity
953_3,Granting of co-ownership with the local community: Granting co-ownership to the local community through a formal shared management agreement to ensure project permanence and provide social benefit.,2,community
953_4,Shared management agreement: Signing a shared management agreement between Guyra Paraguay and the local community to maintain the project area under a conservation regime and retain its biodiversity and cultural values.,9,biodiversity
953_5,Management plan development: Developing a management plan jointly by Guyra Paraguay and the local community with provision for regular update and review.,9,project management
953_6,"Protection of the project area: Protecting the project area from incursion, fire, and unauthorized extraction of forest resources by project staff based in Bahia Negra and with an outstation established on site.",15,carbon
953_7,"Survey and monitoring: Conducting survey and monitoring activities to track the maintenance of high conservation values including biodiversity, environmental services, and provision of social benefits.",10,biodiversity
953_8,"Capacity-building: Building the management skills of the local community, particularly in scientific conservation management, both in the project area and other areas of conservation importance in the project zone.",10,community
953_9,"Maintenance of Guyra Paraguay staff: Maintaining a Guyra Paraguay staff member based in Bahia Negra responsible for coordinating participatory management planning and implementation, including capacity-building within the local community.",9,project management
953_10,"Recruitment and training of local community members: Supporting the recruitment and training of local community members in conservation management, including wardening, survey, and monitoring work.",10,community
953_11,"Income stream for the local community: Providing a regular income stream equivalent to 1 US$/yr per ha of project area over the project life to the local community, to be used at their discretion for improving the quality of life.",2,community
944_1,"Conservation of forests: The project aims to conserve the forests in order to protect regional watersheds, wildlife, scenic and scientific research values, and forest vegetation with its associated climate change mitigation potential.",15,carbon
944_2,"Addressing drivers of deforestation: The project activities are aimed at addressing the drivers of deforestation within the Protected Area, including forest conversion for cropland, illegal logging, collection of firewood, infrastructure development, and illegal land grabbing.",15,carbon
944_3,"Implementing a conservation strategy: The project aims to implement a conservation strategy throughout the 182,000 hectares of the Protected Area to effectively manage and enforce conservation efforts. This includes staff training, infrastructure development, and financial resources.",10,biodiversity
944_4,Communication strategy: The project is implementing a communication strategy to raise public awareness about the importance of conserving the Protected Area and engage the local population in the project.,10,project management
944_5,"Obtaining additional certification: The project is committed to obtaining additional certification by the Climate, Community and Biodiversity Standards (CCBS) to ensure that Conservation Agreements provide net community benefits to local settlers.",10,carbon
1360_1,"Suitable environmental use of communal land: This component promotes economic and food security activities compatible with the appropriate use of communal territories. Activities include participatory microzoning, agroforestry systems, improvement of traditional agricultural areas, community forest management, forest enrichment, and ecological tourism activities.",11,community
1360_2,"Creating capabilities for administration of natural resources: This component focuses on developing the capacities of the community people for the proper management of their natural resources. Activities include training programs, communication strategies, capacity building for authorities and community members, promotion of forestry and local governance, and conflict resolution.",11,project management
1360_3,"Project finance and articulation with the market: This component involves activities oriented towards funding, market articulation, strengthening financial capacity, and organizing groups of producers.",4,community
1360_4,Technical assistance and supervision in Native Communities by the State: This component aims to establish strategic alliances between the communities and the state for technical cooperation and training. Activities include training community members through state representatives and strengthening the management of natural resources.,11,community
1202_1,"Community Sensitization, Education and Consultation: BCP works closely with local representatives and traditional community leaders to identify local causes and drivers of deforestation. They engage with local communities through a robust and extensive community consultation and sensitization process. This activity aims to ensure local legitimacy and buy-in to the project.",7,community
1202_2,School Environmental Education Program: BCP aims to raise awareness about forests and the environment among youths by teaching them about the dangers of deforestation and promoting better practices. They coordinate environmental awareness programs at community schools and provide intensive teacher training and resources for students.,7,community
1202_3,"Scholarship Program: BCP provides scholarships to youth with academic ability and interest in environmental issues. This program promotes education, youth involvement in environmental protection, and the development of young leaders as activists and ambassadors.",7,community
1202_4,Forest Football and Environmental Education Program: This program targets youth for involvement in environmentally conscious activities and promotes a healthy lifestyle that emphasizes alternatives to deforestation.,0,carbon
1202_5,Governance: Institution Building: BCP works with local communities to develop and support community decision-making institutions called Zone Development Committees. These committees combine local elected representatives with traditional leaders to ensure decisions about project activities benefit from local knowledge and support.,7,community
1202_6,"Agro-forestry: BCP promotes tree-planting and reforestation projects, particularly those with a commercial or food security improvement aspect. They aim to improve local food security and reduce deforestation for agricultural expansion and charcoal production.",7,community
1202_7,"Conservation Farming: BCP's Conservation Farming Training Program teaches farmers how to become more efficient and productive on their farms, with the aim of improving food security and reducing deforestation for agricultural expansion and charcoal production.",7,community
1202_8,Eco-Tourism: BCP involves local community stakeholders in eco-tourism activities to provide them with income and tangible benefits from the protected forest environment. This activity promotes forest protection and community development.,7,community
1202_9,Improved Small Livestock Production: BCP aims to improve local food security and help participants develop small-scale community-owned livestock businesses that can generate income. This activity is linked to deforestation mitigation through the use of Community Covenants.,7,community
1202_10,"Community Livestock Worker Program: Improved Animal Care: BCP trains representatives from each village in the improved care of livestock and facilitates their access to necessary training, information, and resources. This program supports BCP's livestock projects and improves the health of livestock living within the project zone.",7,community
1202_11,Solar Technology Extension Project: BCP promotes the use of solar technology to reduce local practices of using firewood for lighting. They empower local operators to run their own small-scale solar businesses and increase access to solar technology.,7,community
1202_12,Miombo Mushroom Business: BCP promotes the collection and growing of mushrooms as forest-compatible activities that improve food security and provide an alternative source of income. This activity promotes forest protection and the sustainable use of natural resources.,7,community
1202_13,Seasonal Thatch Business: BCP facilitates local practices of collecting thatch by providing transportation and access to markets for thatch products. This activity develops a small business opportunity and reduces fuel-loads for late-season fires.,7,community
1202_14,"Social Services: BCP supports the improvement of quality of life for residents within the project zone by providing access to education, medical care, clean water supplies, and other social services.",7,community
1202_15,"Sustainable Eco-Charcoal Production: BCP's eco-charcoal project combines sustainable harvesting practices, improved kiln technologies, and value chain interventions to create incentives for rural producers to switch from unsustainable to sustainable charcoal production. This project promotes forest protection, improves rural livelihoods, and enhances carbon stocks.",7,carbon
1202_16,Sustainable Honey Production: BCP promotes honey production as an alternative source of food and income among rural stakeholders. This project also creates incentives for participants to protect areas of forest where honey production takes place.,7,community
1202_17,"Sustainable Hydra-Form Brick Making: BCP uses hydra-form bricks for construction projects, which require less cement and do not require wood-firing. This project reduces deforestation for traditional brick-making and creates local employment opportunities.",7,community
1202_18,"Tree Planting (woodlots), Tree Nurseries, Orchards: BCP promotes tree planting and afforestation projects in partnership with the Zambian Forestry Department. They aim to improve forest cover, provide sustainable forest management, and develop commercial opportunities for communities.",7,carbon
1202_19,"Crop Diversification: BCP promotes crop diversification through partnerships with organizations to connect rural producers to urban markets. This project improves field health, increases yields, and enhances household resilience.",7,community
1202_20,"Vegetable Production: BCP facilitates the development of vegetable gardens as family food sources or commercial business opportunities. This project improves food security, provides alternative sources of income, and reduces deforestation for food or income.",7,community
1202_21,Sewing Project: BCP works with interested participants to develop sewing projects as locally-owned small businesses. This project creates employment opportunities and provides alternative livelihoods to reduce deforestation.,7,community
1202_22,"Edible Insect Project: BCP promotes the harvesting of edible insects as an alternative source of food and income. This project improves food security, increases income, and promotes forest protection.",7,community
1202_23,Savings and loans groups: BCP facilitates community access to training and resources for community savings and loans groups. This project helps develop alternatives to deforestation and improves access to financial resources for household well-being.,7,community
1202_24,Employment: BCP provides regular alternative sources of income to local stakeholders to reduce their need to engage in deforestation-dependent activities. This project aims to alleviate poverty and provide sustainable livelihood opportunities.,7,community
1202_25,"Forest Monitors and Scouts: BCP trains security teams comprised of local community members to patrol and secure the project area, reporting any acts of deforestation or wildlife poaching. They also engage in comprehensive biodiversity monitoring programs.",7,carbon
1202_26,Boundary Demarcation: BCP undertakes boundary demarcation activities to ensure local community stakeholder awareness and acceptance of project area boundaries. This activity reduces the potential for conflict stemming from confusion about the boundary location.,7,project management
1202_27,Community-Based Forest Biomass and Carbon Stock Monitoring: BCP's community-based Plot Team collects data using smartphone technology to measure forest carbon stocks. This activity promotes community involvement and ownership of local forest resources and ensures high-quality data for carbon accounting.,7,carbon
1202_28,Social Monitoring Program: BCP monitors and evaluates the impacts of project activities on local stakeholder livelihoods to ensure positive impacts and effective reduction of local drivers of deforestation.,7,community
1202_29,Community Covenants: BCP uses community covenants to link participation in project activities to forest protection aims. These covenants prevent/reduce the risk of adverse effects from project activities and ensure a direct link between project activities and deforestation reductions.,7,carbon
1382_1,Forego Clearing of the Project Area and Conversion to Pasture: The primary project activity is voluntarily foregoing the clearing of the project area and conversion of the land to a large-scale cattle ranch.,3,carbon
1382_2,"Raise Project Awareness: The project was discussed with local families to ensure they were fully aware of the project, able to contribute to the project design, and able to give Free, Prior and Informed Consent (FPIC).",2,project management
